state_fips,state,state_abbr,county,hardiness_zone
38,North Dakota,ND,Burleigh,4a
37,North Carolina,NC,Rowan,7b
26,Michigan,MI,Iron,4a
27,Minnesota,MN,Kandiyohi,4b
21,Kentucky,KY,Wolfe,7a
48,Texas,TX,Fayette,9a
46,South Dakota,SD,Lawrence,5b
23,Maine,ME,Washington,5b
48,Texas,TX,Briscoe,7b
26,Michigan,MI,Ontonagon,4a
28,Mississippi,MS,Carroll,8a
41,Oregon,OR,Benton,8b
27,Minnesota,MN,Rock,5a
42,Pennsylvania,PA,Indiana,6b
22,Louisiana,LA,Lincoln,8b
42,Pennsylvania,PA,Perry,7a
46,South Dakota,SD,Ziebach,4b
48,Texas,TX,Harrison,8b
26,Michigan,MI,Baraga,4a
40,Oklahoma,OK,Rogers,7a
29,Missouri,MO,Boone,6b
72,,,Mayagüez,
40,Oklahoma,OK,Caddo,7b
08,Colorado,CO,Jefferson,5b
54,West Virginia,WV,Cabell,7a
48,Texas,TX,Reagan,8a
05,Arkansas,AR,Van Buren,7b
08,Colorado,CO,Summit,5a
20,Kansas,KS,Cowley,7a
05,Arkansas,AR,Johnson,8a
36,New York,NY,Hamilton,4a
51,Virginia,VA,Craig,7a
48,Texas,TX,Coleman,8b
02,Alaska,AK,Yukon-Koyukuk,
04,Arizona,AZ,Navajo,7a
28,Mississippi,MS,Lincoln,8b
48,Texas,TX,Ochiltree,7a
48,Texas,TX,Crane,8a
56,Wyoming,WY,Big Horn,5a
47,Tennessee,TN,Hickman,7b
28,Mississippi,MS,Tunica,8a
29,Missouri,MO,Harrison,5b
72,,,Canóvanas,
18,Indiana,IN,Bartholomew,6b
13,Georgia,GA,Paulding,8a
39,Ohio,OH,Brown,6b
47,Tennessee,TN,Putnam,7a
38,North Dakota,ND,Ward,4a
25,Massachusetts,MA,Worcester,6a
39,Ohio,OH,Logan,6a
06,California,CA,Kings,9a
06,California,CA,San Diego,10a
72,,,Salinas,
13,Georgia,GA,Crawford,8b
72,,,Naguabo,
29,Missouri,MO,Cass,6b
36,New York,NY,Dutchess,6a
48,Texas,TX,Washington,9a
08,Colorado,CO,Pueblo,6a
29,Missouri,MO,Douglas,7a
38,North Dakota,ND,Bottineau,3b
37,North Carolina,NC,Cumberland,8b
56,Wyoming,WY,Hot Springs,4b
26,Michigan,MI,Alcona,5a
06,California,CA,Placer,9b
05,Arkansas,AR,Searcy,7b
48,Texas,TX,Lynn,7b
36,New York,NY,Otsego,5b
37,North Carolina,NC,Richmond,8a
37,North Carolina,NC,Hoke,8a
31,Nebraska,NE,Otoe,5b
42,Pennsylvania,PA,Cameron,5b
45,South Carolina,SC,Dorchester,8b
27,Minnesota,MN,Waseca,5a
46,South Dakota,SD,Brule,5a
47,Tennessee,TN,Warren,7b
17,Illinois,IL,Clark,6b
21,Kentucky,KY,Robertson,6b
47,Tennessee,TN,Lake,7b
45,South Carolina,SC,Berkeley,8b
05,Arkansas,AR,Garland,8a
20,Kansas,KS,Osage,6b
39,Ohio,OH,Trumbull,6a
48,Texas,TX,Mills,8b
48,Texas,TX,Oldham,7a
42,Pennsylvania,PA,Butler,6a
16,Idaho,ID,Idaho,5b
20,Kansas,KS,Marion,6b
51,Virginia,VA,Buckingham,7b
37,North Carolina,NC,Cabarrus,8a
29,Missouri,MO,Webster,6b
49,Utah,UT,Davis,7a
27,Minnesota,MN,Cottonwood,5a
12,Florida,FL,Okeechobee,10a
13,Georgia,GA,Union,7b
19,Iowa,IA,Black Hawk,5a
48,Texas,TX,Sabine,9a
39,Ohio,OH,Pike,6b
01,Alabama,AL,Tuscaloosa,8b
01,Alabama,AL,Wilcox,8b
28,Mississippi,MS,Montgomery,8a
31,Nebraska,NE,Kearney,5b
31,Nebraska,NE,Hitchcock,6a
10,Delaware,DE,New Castle,7b
16,Idaho,ID,Teton,5a
17,Illinois,IL,Rock Island,5b
51,Virginia,VA,Gloucester,8a
05,Arkansas,AR,Sevier,8a
18,Indiana,IN,Cass,6a
16,Idaho,ID,Power,6a
18,Indiana,IN,Carroll,6a
42,Pennsylvania,PA,Philadelphia,7b
56,Wyoming,WY,Washakie,4b
37,North Carolina,NC,Camden,8a
36,New York,NY,Tompkins,6a
05,Arkansas,AR,Jefferson,8b
05,Arkansas,AR,Lincoln,8b
55,Wisconsin,WI,Vernon,5a
29,Missouri,MO,Iron,6b
48,Texas,TX,Hopkins,8b
36,New York,NY,Albany,6a
48,Texas,TX,Houston,8b
39,Ohio,OH,Monroe,6b
20,Kansas,KS,Rush,6a
18,Indiana,IN,Montgomery,5b
20,Kansas,KS,Stanton,6b
21,Kentucky,KY,Lee,7a
27,Minnesota,MN,Koochiching,3b
48,Texas,TX,Bexar,9a
08,Colorado,CO,Boulder,5b
47,Tennessee,TN,Jefferson,7b
40,Oklahoma,OK,Mayes,7a
27,Minnesota,MN,Watonwan,5a
16,Idaho,ID,Blaine,5b
22,Louisiana,LA,Jefferson Davis,9a
46,South Dakota,SD,Sully,4b
08,Colorado,CO,Denver,6a
40,Oklahoma,OK,Coal,7b
30,Montana,MT,Carter,4b
48,Texas,TX,Upton,8b
18,Indiana,IN,Gibson,7a
31,Nebraska,NE,Kimball,5b
17,Illinois,IL,Kendall,5b
11,District of Columbia,DC,District of Columbia,8a
08,Colorado,CO,Montrose,6b
27,Minnesota,MN,Wright,4b
55,Wisconsin,WI,Kenosha,5b
08,Colorado,CO,Eagle,6a
06,California,CA,San Francisco,10b
08,Colorado,CO,San Miguel,6b
02,Alaska,AK,Anchorage,
12,Florida,FL,St. Johns,9b
28,Mississippi,MS,Choctaw,8a
29,Missouri,MO,Grundy,6a
26,Michigan,MI,Lake,5b
26,Michigan,MI,Ottawa,6a
17,Illinois,IL,Cook,6a
17,Illinois,IL,Gallatin,7a
45,South Carolina,SC,Greenwood,8a
20,Kansas,KS,Franklin,6b
27,Minnesota,MN,Clay,4a
47,Tennessee,TN,Haywood,8a
49,Utah,UT,Box Elder,6b
28,Mississippi,MS,Tippah,7b
54,West Virginia,WV,Marshall,6b
54,West Virginia,WV,Jackson,7a
16,Idaho,ID,Elmore,7a
24,Maryland,MD,Baltimore,7a
38,North Dakota,ND,Benson,4a
29,Missouri,MO,Pike,6a
39,Ohio,OH,Lawrence,7a
29,Missouri,MO,Scott,7a
39,Ohio,OH,Adams,6b
48,Texas,TX,Erath,8b
13,Georgia,GA,Habersham,8a
13,Georgia,GA,Wilkinson,8b
54,West Virginia,WV,Monongalia,7a
39,Ohio,OH,Crawford,6a
12,Florida,FL,DeSoto,9b
09,Connecticut,CT,New London,6b
39,Ohio,OH,Guernsey,6b
26,Michigan,MI,Barry,6a
29,Missouri,MO,Stone,7a
51,Virginia,VA,Richmond,7b
37,North Carolina,NC,Stokes,7b
19,Iowa,IA,Clarke,5b
19,Iowa,IA,Fayette,5a
06,California,CA,Marin,10a
48,Texas,TX,Randall,7a
48,Texas,TX,Rusk,8b
19,Iowa,IA,Warren,5b
39,Ohio,OH,Van Wert,6a
12,Florida,FL,Glades,10a
13,Georgia,GA,Meriwether,8a
08,Colorado,CO,Costilla,5a
48,Texas,TX,Coryell,8b
19,Iowa,IA,Adair,5b
13,Georgia,GA,Chattahoochee,8b
06,California,CA,Mariposa,9b
29,Missouri,MO,Howard,6b
41,Oregon,OR,Marion,8b
55,Wisconsin,WI,Milwaukee,6a
27,Minnesota,MN,Scott,4b
39,Ohio,OH,Pickaway,6b
51,Virginia,VA,Powhatan,7b
08,Colorado,CO,Broomfield,6a
47,Tennessee,TN,Lawrence,7b
26,Michigan,MI,Antrim,5b
45,South Carolina,SC,Marlboro,8a
16,Idaho,ID,Benewah,6b
17,Illinois,IL,Lee,5b
31,Nebraska,NE,Nemaha,5b
37,North Carolina,NC,Carteret,8b
20,Kansas,KS,Pottawatomie,6a
26,Michigan,MI,Jackson,6a
48,Texas,TX,Comal,9a
25,Massachusetts,MA,Nantucket,7b
45,South Carolina,SC,Bamberg,8b
48,Texas,TX,Aransas,9b
13,Georgia,GA,Berrien,9a
18,Indiana,IN,Vermillion,6a
26,Michigan,MI,Roscommon,5a
37,North Carolina,NC,Alleghany,7a
06,California,CA,Lassen,7a
51,Virginia,VA,Falls Church,7b
12,Florida,FL,Manatee,9b
39,Ohio,OH,Muskingum,6b
08,Colorado,CO,Chaffee,5b
08,Colorado,CO,Crowley,5b
